"Yes","Sim"
"No","Não"
"Enable","Habilitar"
"Disable","Desabilitar"
"Enabled","Habilitado"
"Title","Título"
"New Orders Status","Status Para Novos Pedidos"
"PagSeguro Account E-mail","E-mail da Conta do PagSeguro"
"Custom Address Model","Modelo de Endereço Personalizado"
"Show Installment","Exibir Parcelamento"
"No Interest Installment","Parcelamento Sem Juros"
"Discount to no Installments Payment","Desconto á Vista"
"Group Price","Agrupar Preço"
"Add Message","Mensagem Adicional"
"Shipping Price","Valor do Frete"
"Use CMS Page as Return","Utilizar Página CMS como Retorno"
"Use cURL","Usar cURL"
"Allowed Coutries","Países Permitidos"
"All Allowed Countries","Todos os Países Permitidos"
"Specific Countries","Países Específicos"
"Payments of Allowed Coutries","Permitir Pagamentos de Países"
"Enable Logging","Habilitar Log"
"Log Types","Tipos de Logs"
"Separated","Separado"
"As Product","Como Produto"
"Grouped","Agrupado"
"Max %sx","Até %sx"
"Deactivated (%sx)","Desativado (%sx)"
"Beginning and Ending Tags","Tags de Início e Fim"
"PagSeguro Return Data","Dados de Retorno do PagSeguro"
"PagSeguro Confirmation Status","Status de Confimação do PagSeguro"
"PagSeguro Order Status","Status do Pedido no PagSeguro"
"Separator","Separador"
"Sort Order","Ordenação"
"To activate automatic return from PagSeguro access your account and generate a token code and paste it here.","Para ativar o retorno automático do PagSeguro acesse sua conta, gere um código de token e cole aqui."
"Check documentation to use this option.","Leia a documentação para utilizar esta opção."
"To display this option please setup this into your account on PagSeguro.","Para mostrar esta opção, por favor, configure-a em sua conta no PagSeguro."
"This option only works when the No Interest Installment is active.","Esta opção só funciona quando a opção de parcelamento sem jutos está ativa."
"Enabling this configuration only one product will be sent to PagSeguro Checkout with the grand total of the order.","Habilitando esta configuração apenas um produto será enviado para o carrinho do PagSeguro com o total do pedido."
"You will be redirected to PagSeguro after the order confirmation.","Você será redirecionado(a) para o PagSeguro após a confirmação do pedido."
"This content is displayed when customer is choosing the payment method on checkout.","Esta mensagem será mostrada quando o cliente escolher PagSeguro UOL como opção de pagamento no checkout da compra."
